id,longitude,latitude,state_name,state_abbrev,county_name,fips,bt23_scenario,resource_price,resource_type,resource,resource_amount,resource_units,data_source,data_source_url
26,-120.75120732285801,38.4025581835655,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.12709118,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
27,-120.65793531895099,38.3679483366831,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.16131951,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
28,-120.228543383717,38.499652401329,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.05952749,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
29,-120.93714902264601,38.3686223709054,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.055658203,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
30,-120.75005678193399,38.4598147381309,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.1367148,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
31,-120.580736642251,38.4330627416324,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.28821227,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
32,-120.654264030368,38.4649458912815,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.28394613,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
33,-120.698320465945,38.460041435721294,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.22461706,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
34,-120.896155955506,38.2609788489444,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.07669125,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
35,-120.685799089126,38.4200312214832,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.49616164,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
36,-120.651199636535,38.3990710152887,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.287617,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
37,-120.991447009081,38.473148283023896,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.025299182,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
38,-120.699356984092,38.510436948081704,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.21251315,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
39,-120.383857100443,38.4829444433814,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.10040303,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
40,-120.60420358391501,38.475827033278605,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.34238228,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
41,-120.86728629986,38.321093128120204,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.95045555,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
42,-120.895296883165,38.2520973159867,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.43851918,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
43,-120.112856285187,38.6417992026741,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.7305381,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
44,-120.736650407645,38.3497553796514,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.1746507,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
45,-120.66631253805099,38.375029327221604,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.434885,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
46,-120.292260859504,38.5184113280354,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.1716745,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
47,-120.230589942593,38.5831867130001,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.9358585,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
48,-120.49313239715201,38.4825335828791,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.5201583,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
49,-120.19643163513099,38.5335879556488,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.8806965,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
50,-120.565803408072,38.4847525735261,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,2.3510878,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
51,-120.72305959218001,38.4959449023154,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.4704525,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
52,-120.83271805153,38.5176492927935,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.1682017,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
53,-120.76548351663999,38.4322300436558,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,4.1025352,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
54,-120.68952040947501,38.4379252328405,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,2.9190297,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
55,-120.357897770892,38.5035272765474,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.4811676,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
56,-120.63032831737,38.480910820057204,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,2.3285666,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
57,-120.12005931505699,38.5541365153903,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,3.7200217,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
58,-120.93186139286101,38.43628671708171,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,0.77623844,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
59,-120.613473359256,38.423164807857,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,2.7905498,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
60,-120.543567439697,38.4443062779254,CALIFORNIA,CA,Amador,06005,emerging,50.0,Other forest waste,Forest waste human generated,2.1294968,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
61,-120.42482136467501,38.497967806946,CALIFORNIA,CA,Amador,06005,mature-market high,50.0,Other forest waste,Forest waste human generated,3.319253,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
62,-120.673096813858,38.3809945430019,CALIFORNIA,CA,Amador,06005,mature-market high,50.0,Other forest waste,Forest waste human generated,0.3274012,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
63,-120.83725277379999,38.4628436024215,CALIFORNIA,CA,Amador,06005,mature-market high,50.0,Other forest waste,Forest waste human generated,0.42869714,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
64,-120.881195399925,38.308332388346706,CALIFORNIA,CA,Amador,06005,mature-market high,50.0,Other forest waste,Forest waste human generated,0.2906926,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
65,-120.889227276593,38.42072423490411,CALIFORNIA,CA,Amador,06005,mature-market high,50.0,Other forest waste,Forest waste human generated,0.7320889,dry tonnes/year,2023 Billion Ton Report,https://bioenergykdf.net/bt23-data-portal
