COUNTY,TOTAL FIELD ,BARLEY,CORN,SORGHUM,WHEAT,RYE,OATS,RICE,COTTON,SUNFLOWER,SAFFLOWER,BEANS & PEAS DRY,TRITICALE,FIELD OTHER,SEED OTHER,FIELD CROPS UNSP.,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
San Mateo," 3,909 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 486 , -   , -   ," 1,012 "," 2,411 ",,,,,,,,,,
Santa Barbara, 784 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 357 , 427 ,,,,,,,,,,
Santa Clara, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Santa Cruz," 7,995 ", -   , -   , -   , -   , -   , -   ," 7,995 ", -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Shasta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Sierra," 25,526 "," 4,496 ", -   , -   ," 15,728 "," 1,456 ", 54 , -   , -   , -   , -   , -   , -   , -   , 476 ," 3,316 ",,,,,,,,,,
Siskiyou," 63,417 ", -   ," 21,678 ", -   ," 20,316 ", -   , -   , -   , -   ," 6,944 "," 1,854 ", 363 ," 9,924 ", -   , 895 ," 1,443 ",,,,,,,,,,
Solano, 216 , -   , -   , -   , -   , -   , 216 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Sonoma," 7,931 ", -   , -   , -   ," 2,715 ", -   , -   ," 1,289 ", -   , -   , -   ," 1,853 ", -   , -   , 451 ," 1,623 ",,,,,,,,,,
Stanislaus," 155,023 ", -   ," 23,783 ", -   ," 6,675 ", -   , -   ," 110,006 ", -   ," 7,162 "," 1,808 ", -   , -   , -   ," 5,589 ", -   ,,,,,,,,,,
Sutter," 5,438 ", -   ," 1,856 ", -   ," 2,444 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,138 ", -   ,,,,,,,,,,
Tehama, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Trinity," 29,591 ", 962 ," 1,993 ", -   ," 5,439 ", -   , -   , -   ," 16,384 ", -   , -   ," 1,575 ", -   , -   ," 1,912 "," 1,326 ",,,,,,,,,,
Tulare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Tuolumne, 721 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 721 , -   , -   , -   , -   ,,,,,,,,,,
Ventura," 138,593 ", -   ," 14,564 ", -   ," 27,337 ", -   , -   ," 56,110 ", -   ," 12,498 "," 5,034 ", -   , -   , -   ," 7,133 "," 15,916 ",,,,,,,,,,
Yolo," 60,565 ", -   , -   , -   , -   , -   , -   ," 55,681 ", -   , -   , -   , -   , -   , -   , -   ," 4,884 ",,,,,,,,,,
Yuba," 61,009 "," 1,392 "," 7,440 "," 17,180 ", 330 , 239 , 243 ," 5,979 ", 568 , 102 ," 4,187 "," 1,688 "," 1,938 "," 8,519 "," 5,844 "," 5,361 ",,,,,,,,,,
Other, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
 Total ," 1,742,552 "," 16,073 "," 305,375 "," 17,180 "," 229,766 "," 3,629 "," 3,154 "," 650,246 "," 256,880 "," 34,515 "," 17,034 "," 11,693 "," 11,862 "," 8,519 "," 67,119 "," 109,507 ",,,,,,,,,,
