 COUNTY , TOTAL ORCH. VINE CROP , ALMOND , GRAPE , APPLE , APRICOT , AVOCADO , EXOTIC , CHERRY , NUTS OTHER , LEMON , CITRUS OTHER , DATE & FIG , FRUITS & NUTS UNSP. , KIWIFRUIT , NECTARINE , OLIVE , ORANGE , PEACH , PEAR , PISTACHIO , PLUM , WALNUT ,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
 Riverside ," 40,619 ", -   ," 10,510 ", 12 , 23 ," 4,629 ", 22 , 56 , -   ," 8,573 "," 10,064 "," 2,432 ", 441 , -   , -   , -   ," 3,717 ", 140 , -   , -   , -   , -   ,,,,
 Sacramento ," 38,777 ", -   ," 30,087 ", -   , -   , -   , -   ," 1,386 ", -   , -   , -   , -   , 430 , -   , -   , -   , -   , -   ," 6,485 ", -   , -   , 389 ,,,,
 San Benito ," 7,332 ", -   ," 4,483 ", 277 , 757 , -   , -   , 649 , -   , -   , -   , -   , 279 , -   , -   , 72 , -   , -   , -   , -   , -   , 814 ,,,,
 San Bernardino ," 4,742 ", -   , 431 , 358 , -   , 163 , -   , -   , -   , 154 , 432 , -   , 91 , -   , -   , -   ," 3,018 ", -   , -   , 95 , -   , -   ,,,,
 San Diego ," 36,584 ", -   , 926 , 267 , -   ," 15,023 ", 320 , -   ," 2,238 "," 4,897 "," 3,435 ", -   ," 1,016 ", -   , -   , -   ," 8,463 ", -   , -   , -   , -   , -   ,,,,
 San Francisco , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 San Joaquin ," 247,903 "," 80,880 "," 102,295 "," 2,857 "," 1,134 ", -   , -   ," 23,098 ", -   , -   , -   , -   , 515 , -   , -   ," 2,289 ", -   ," 2,000 ", 232 , -   , -   ," 32,602 ",,,,
 San Luis Obispo ," 46,123 ", -   ," 37,508 ", -   , -   ," 3,780 ", -   , -   , -   ," 1,948 ", -   , -   ," 1,473 ", -   , -   , -   , 339 , -   , -   , -   , -   ," 1,075 ",,,,
 San Mateo , 231 , -   , 154 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 76 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
 Santa Barbara ," 30,911 ", -   ," 21,161 ", -   , -   ," 5,960 ", -   , -   , -   ," 1,852 ", -   , -   ," 1,938 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,
