COUNTY,TOTAL   ROW CROP ,ARTICHOKE,ASPARAGUS,BEET,BERRY,BROCCOLI,CABBAGE ,CARROT,CAULIFLOWER,CELERY,CUCUMBER,GARLIC,LETTUCE,MELON,ONION,PEPPER,SQUASH,SPINACH & GREENS,SPICES & HERBS,VEG UNSP.,OTHER CRUCIFEROUS,VEG OTHER,BEAN & PEA,CORN SWEET,POTATO,TOMATO & EGGPLANT
Riverside," 17,807 ", 147 , -   , -   , 18 , 192 , 33 ," 6,128 ", 255 , 300 , -   , -   ," 1,184 "," 2,228 ", 145 ," 1,413 ", 30 , 236 , 521 , 138 , 37 , 385 , 269 ," 1,540 "," 2,473 ", 132 
Sacramento," 2,319 ", -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 92 , -   , -   , 371 , -   , -   , -   , -   , -   ," 1,855 "
San Benito," 5,741 ", -   , -   , 3 , -   , 153 , 99 , -   , -   , 334 , -   , -   , 750 , -   , 568 ," 1,174 ", 2 , 279 , -   , 621 , 74 , -   , -   , -   , -   ," 1,683 "
San Bernardino, 771 , -   , -   , 1 , 4 , -   , 609 , -   , -   , -   , 3 , -   , -   , 1 , 5 , -   , 50 , -   , 4 , 14 , 0 , 73 , 1 , 3 , -   , 2 
San Diego," 2,007 ", -   , -   , -   , 82 , -   , -   , -   , -   , -   , 17 , -   , 47 , 11 , -   , 113 , 358 , -   , 137 , 204 , -   , 4 , -   , -   , 385 , 650 
San Francisco, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
San Joaquin," 25,863 ", -   , -   , -   , 50 , -   , -   , -   , -   , -   , 156 , -   , -   ," 1,989 ", 248 , 290 ," 1,510 ", -   , -   , 574 , -   , -   , -   ," 1,870 "," 5,794 "," 13,382 "
San Luis Obispo," 5,995 ", -   , -   , -   , 599 , -   ," 1,391 ", 420 , 519 , 270 , -   , -   ," 1,079 ", -   , -   , 306 , 21 , 45 , -   ," 1,014 ", -   , 324 , 7 , -   , -   , -   
San Mateo, 464 , 7 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36 , -   , -   , 70 , 265 , 63 , 22 , -   , -   , -   
Santa Barbara," 12,420 ", -   , -   , -   ," 1,350 "," 3,983 ", 413 , -   ," 1,411 "," 1,386 ", -   , -   ," 1,874 ", -   , -   , 127 , 261 , 255 , -   ," 1,358 ", -   , -   , -   , -   , -   , -   
Santa Clara," 5,737 ", -   , -   , -   , 2 , 38 , -   , -   , -   , 163 , -   , 201 , 498 , -   , 101 ," 1,994 ", 74 , 200 , -   , 126 , -   , 288 , 192 ," 1,186 ", -   , 675 
Santa Cruz," 2,150 ", -   , -   , -   , 779 , 25 , -   , -   , 6 , -   , -   , -   , 473 , -   , -   , -   , -   , -   , -   , 432 , 436 , -   , -   , -   , -   , -   
Shasta, 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , -   , -   , -   , -   , -   , -   , -   
Sierra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Siskiyou," 11,118 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 886 , -   , -   , -   , 1 , 112 , 21 , -   , -   , -   ," 10,097 ", -   
Solano," 8,114 ", -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 303 , -   , -   , -   , -   , -   ," 7,810 "
Sonoma, 60 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 60 , -   , -   , -   , -   , -   , -   
Stanislaus," 23,350 ", -   , -   , -   , -   , 474 , -   , -   , 53 , -   , -   , -   , -   ," 3,420 ", -   , -   , 158 , 416 , -   , 553 , -   , -   , 143 , -   ," 3,384 "," 14,749 "
Sutter," 6,883 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 295 , -   , -   , -   , -   , -   , 8 , -   , -   , -   , -   , -   ," 6,580 "
Tehama, 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17 , -   , -   , -   , -   , -   , -   
Trinity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tulare, 756 , -   , -   , -   , 56 , 313 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 385 , -   , -   , -   , -   , -   , -   
Tuolumne, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   
Ventura," 60,359 ", -   , -   , 101 ," 1,919 ", 168 ," 2,034 ", 468 , -   ," 5,126 ", 113 , -   , 239 , -   , 114 ," 4,018 ", 110 , 188 , 711 , 206 ," 42,238 ", 123 , -   , 174 , -   ," 2,310 "
Yolo," 28,239 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,145 ", -   , -   , -   , -   , -   ," 27,094 "
Yuba, 12 , -   , -   , -   , 0 , -   , -   , -   , -   , -   , -   , -   , -   , 8 , -   , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other," 58,495 ", 15 , 11 , 323 , 74 , 173 ," 2,155 "," 39,903 ", 67 , 372 , 29 , 146 , 321 , 475 ," 1,996 "," 1,274 ", 47 , 706 , 951 , 45 ," 2,268 ", 431 , 886 , 476 ," 2,935 "," 2,418 "
 Total ," 619,739 "," 1,079 ", 166 , 428 ," 6,991 "," 20,501 "," 11,777 "," 51,030 "," 6,187 "," 15,594 ", 322 ," 18,097 "," 28,513 "," 19,393 "," 33,583 "," 13,232 "," 2,949 "," 10,648 "," 2,982 "," 15,803 "," 47,770 "," 2,992 "," 1,925 "," 11,902 "," 80,134 "," 215,739 "
"
",,,,,,,,,,,,,,,,,,,,,,,,,,
