COUNTY,TOTAL   ROW CROP ,ARTICHOKE,ASPARAGUS,BEET,BERRY,BROCCOLI,CABBAGE ,CARROT,CAULIFLOWER,CELERY,CUCUMBER,GARLIC,LETTUCE,MELON,ONION,PEPPER,SQUASH,SPINACH & GREENS,SPICES & HERBS,VEG UNSP.,OTHER CRUCIFEROUS,VEG OTHER,BEAN & PEA,CORN SWEET,POTATO,TOMATO & EGGPLANT
San Francisco, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
San Joaquin," 20,029 ", -   , -   , -   , 47 , -   , -   , -   , -   , -   , 156 , -   , -   ," 1,586 ", 898 , 178 ," 1,409 ", -   , -   , 432 , -   , -   , -   , 868 ," 4,381 "," 10,074 "
San Luis Obispo," 6,036 ", -   , -   , -   , 647 , 736 , 938 , -   , 374 , -   , -   , -   ," 1,367 ", -   , -   , 314 , 13 , -   , -   ," 1,640 ", -   , -   , 7 , -   , -   , -   
San Mateo, 466 , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 42 , -   , -   , 65 , 274 , 56 , 22 , -   , -   , -   
Santa Barbara," 12,919 ", -   , -   , -   ," 1,355 "," 3,646 ", 465 , -   ," 1,424 "," 1,495 ", -   , -   ," 1,987 ", -   , -   , 150 , 88 , 202 , -   ," 2,105 ", -   , -   , -   , -   , -   , -   
Santa Clara," 3,844 ", -   , -   , -   , 2 , 13 , -   , -   , -   , 155 , -   , 375 , 307 , -   , -   , 370 , 79 , 170 , -   , 78 , -   , 166 , 204 ," 1,084 ", -   , 841 
Santa Cruz," 2,196 ", -   , -   , -   , 734 , -   , -   , -   , -   , -   , -   , -   , 504 , -   , -   , -   , -   , -   , -   , 533 , 426 , -   , -   , -   , -   , -   
Shasta, 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , -   , -   , -   , -   , -   , -   , -   
Sierra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Siskiyou," 6,817 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 897 , -   , -   , -   , 1 , -   , 17 , -   , -   , -   ," 5,901 ", -   
Solano," 6,964 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 545 , -   , -   , -   , -   , -   ," 6,419 "
Sonoma, 95 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 , -   , -   , -   , -   , -   , -   
Stanislaus," 12,145 ", -   , -   , -   , -   , 359 , -   , -   , -   , -   , -   , -   , -   ," 1,780 ", -   , -   , 157 , -   , -   , 605 , -   , -   , 76 , -   ," 1,864 "," 7,304 "
Sutter," 5,023 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 108 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,915 "
Tehama, 27 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 27 , -   , -   , -   , -   , -   , -   
Trinity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tulare, 688 , -   , -   , -   , 47 , 170 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 423 , -   , -   , -   , 47 , -   , -   
Tuolumne, 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   
Ventura," 28,165 ", -   , -   , 54 ," 1,777 ", 70 ," 1,968 ", 657 , -   ," 5,022 ", 34 , -   , 272 , -   , 114 ," 2,490 ", 61 , 169 , 698 , 271 ," 13,706 ", 152 , -   , 176 , -   , 473 
Yolo," 21,803 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,261 ", -   , -   , -   , -   , -   ," 20,541 "
Yuba, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other," 52,476 ", 16 , 14 , 434 , 31 , 192 ," 1,036 "," 35,183 ", 58 , 769 , 29 , 277 , 222 , 405 ," 2,907 "," 1,113 ", 53 , 631 ," 1,210 ", 33 ," 2,184 ", 517 , 919 ," 1,514 "," 2,520 ", 212 
 Total ," 494,927 "," 1,238 ", 259 , 488 ," 6,818 "," 20,117 "," 8,980 "," 41,383 "," 5,119 "," 15,091 ", 242 ," 18,366 "," 26,574 "," 15,140 "," 26,121 "," 9,139 "," 2,323 "," 10,688 "," 2,872 "," 20,397 "," 18,534 "," 2,756 "," 1,826 "," 9,123 "," 64,862 "," 166,471 "
"
",,,,,,,,,,,,,,,,,,,,,,,,,,
