COUNTY,TOTAL   ROW CROP ,ARTICHOKE,ASPARAGUS,BEET,BERRY,BROCCOLI,CABBAGE ,CARROT,CAULIFLOWER,CELERY,CUCUMBER,GARLIC,LETTUCE,MELON,ONION,PEPPER,SQUASH,SPINACH & GREENS,SPICES & HERBS,VEG UNSP.,OTHER CRUCIFEROUS,VEG OTHER,BEAN & PEA,CORN SWEET,POTATO,TOMATO & EGGPLANT
Riverside," 10,520 ", 174 , -   , -   , 55 , 269 , 8 ," 3,922 ", 149 , 290 , -   , -   , 467 ," 1,437 ", 116 ," 1,451 ", 60 , 190 , 192 , 150 , 79 , 705 , 189 , 616 ," 4,420 ", 139 
Sacramento, 330 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 329 , -   , -   , -   , -   , -   ," 1,837 "
San Benito," 3,723 ", -   , -   , -   , -   , 120 , 65 , -   , -   , 272 , -   , -   , 687 , -   , 390 , 780 , -   , 258 , -   ," 1,152 ", -   , -   , -   , -   , -   , 767 
San Bernardino," 1,461 ", -   , -   , 0 , 7 , -   ," 1,119 ", -   , -   , -   , 0 , -   , -   , 5 , 2 , -   , 17 , -   , 5 , 13 , -   , 292 , -   , -   , -   , 1 
San Diego, 633 , -   , -   , -   , 93 , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , 73 , 99 , -   , 100 , 242 , -   , -   , -   , -   , 221 , 293 
San Francisco, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
San Joaquin," 5,567 ", -   , 130 , -   , 42 , -   , -   , -   , -   , -   , 235 , -   , -   ," 1,568 ", 663 , 230 ," 1,379 ", -   , -   , 432 , -   , -   , -   , 888 ," 3,457 "," 18,518 "
San Luis Obispo," 5,419 ", -   , -   , -   , 517 ," 1,281 ", 741 , -   , 408 , -   , -   , -   , 613 , -   , -   , 192 , 13 , -   , -   ," 1,640 ", -   , -   , 13 , -   , -   , -   
San Mateo, 419 , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , -   , -   , 65 , 238 , 69 , 18 , -   , -   , -   
Santa Barbara," 13,084 ", -   , -   , -   ," 1,227 "," 3,837 ", 465 , -   ," 1,405 "," 1,497 ", -   , -   ," 2,026 ", -   , -   , 114 , 190 , 219 , -   ," 2,105 ", -   , -   , -   , -   , -   , -   
Santa Clara," 3,787 ", -   , -   , -   , 2 , 15 , 85 , -   , -   , 81 , -   , 375 , 307 , -   , 19 ," 1,131 ", 122 , 239 , -   , 78 , -   , 166 , 199 , 970 , -   , 801 
Santa Cruz," 1,958 ", -   , -   , -   , 579 , -   , -   , -   , -   , -   , -   , -   , 483 , -   , -   , -   , -   , -   , -   , 533 , 365 , -   , -   , -   , -   , -   
Shasta, 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , -   , -   , -   , -   , -   , -   , -   
Sierra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Siskiyou, 922 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 910 , -   , -   , -   , 1 , -   , 11 , -   , -   , -   ," 4,724 ", -   
Solano, 545 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 545 , -   , -   , -   , -   , -   ," 6,260 "
Sonoma, 95 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 , -   , -   , -   , -   , -   , -   
Stanislaus," 2,669 ", -   , -   , -   , -   , 274 , -   , -   , -   , -   , -   , -   , -   ," 1,582 ", -   , -   , 146 , -   , -   , 605 , -   , -   , 62 , -   ," 1,249 "," 7,050 "
Sutter, 130 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 130 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,114 "
Tehama, 27 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 27 , -   , -   , -   , -   , -   , -   
Trinity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tulare, 604 , -   , -   , -   , 23 , 137 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 423 , -   , -   , -   , 19 , -   , -   
Tuolumne, 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   
Ventura," 15,341 ", -   , -   , 68 ," 1,446 ", 62 ," 1,968 ", 657 , -   ," 4,411 ", 34 , -   , 343 , -   , 138 ," 3,139 ", 58 , 189 , 805 , 271 ," 1,379 ", 194 , -   , 179 , -   , 473 
Yolo," 1,261 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,261 ", -   , -   , -   , -   , -   ," 20,580 "
Yuba, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other," 41,294 ", 18 , 6 , 400 , 25 , 174 , 845 ," 31,362 ", 53 , 265 , 5 , 349 , 120 , 345 ," 2,455 "," 1,291 ", 79 , 203 , 905 , 30 ," 1,165 ", 436 , 752 , 11 ," 2,429 ", 232 
 Total ," 228,433 "," 1,112 ", 356 , 468 ," 5,680 "," 16,156 "," 8,089 "," 37,872 "," 4,945 "," 11,782 ", 310 ," 18,120 "," 27,955 "," 18,371 "," 20,298 "," 9,978 "," 2,371 "," 5,812 "," 2,487 "," 20,350 "," 4,463 "," 2,886 "," 1,431 "," 7,143 "," 50,431 "," 179,556 "
