COUNTY,TOTAL FIELD ,BARLEY,CORN,SORGHUM,WHEAT,RYE,OATS,RICE,COTTON,SUNFLOWER,SAFFLOWER,BEANS & PEAS DRY,TRITICALE,FIELD OTHER,SEED OTHER,FIELD CROPS UNSP.
Alameda, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Alpine, 247 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 247 
Amador," 132,676 ", -   , -   , -   , 562 , -   , -   ," 112,008 ", -   , -   , 202 , 150 , -   , -   ," 5,321 "," 14,433 "
Butte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Calaveras," 226,802 ", -   ," 2,841 ", -   ," 15,260 ", -   , -   ," 189,821 ", -   ," 6,165 ", 744 , 833 , -   , -   ," 11,137 ", -   
Colusa," 9,506 ", -   ," 5,598 ", -   , 756 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,152 "
Contra Costa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Del Norte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
El Dorado," 26,275 ", 723 , -   , -   ," 9,315 ", -   , -   , -   ," 8,566 ", -   , -   , -   , -   , -   ," 7,670 ", -   
Fresno," 176,339 ", 450 ," 37,463 ", -   ," 16,103 ", -   ," 1,239 "," 111,488 "," 2,926 "," 2,261 ", -   , 421 , -   , -   ," 3,988 ", -   
Glenn, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Humboldt, 630 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 630 
Imperial, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inyo," 75,626 ", 975 , -   , -   ," 14,534 ", -   , -   , -   ," 58,022 ", -   , -   , 762 , -   , -   ," 1,333 ", -   
Kern," 184,856 ", -   , -   , -   ," 14,418 ", -   , -   , -   ," 136,582 ", -   , -   , 280 , -   , -   ," 3,617 "," 29,959 "
