COUNTY,TOTAL ORCH VINE CROP,APPLE,APRICOT,AVOCADO,EXOTIC,CHERRY,LEMON,CITRUS OTHER,DATE & FIG,KIWIFRUIT,NECTARINE,OLIVE,PEAR,PLUM,PEACH,ORANGE,UNSPEC.,GRAPE NON-WINE,GRAPE WINE
Santa Cruz, 648 , 251 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 378 , -   , 19 
Shasta, 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 
Sierra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Siskiyou, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Solano," 1,436 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 13 , -   , -   ," 1,257 ", -   , 163 
Sonoma," 1,877 ", 119 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 43 , -   , -   , -   , -   , -   , -   ," 1,716 "
Stanislaus," 14,874 ", 102 , 779 , -   , -   , 20 , -   , 25 , -   , -   , -   , -   , -   , -   ," 2,010 ", -   ," 10,500 "," 1,439 ", -   
Sutter," 2,285 ", -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , 50 , -   , 392 ," 1,832 ", -   , -   , -   , -   
Tehama, 602 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 426 , -   , 165 , -   , -   , -   , 12 , -   
Trinity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tulare," 21,486 ", -   , 41 , -   , 631 , 26 , 479 , 883 , -   , 152 , 907 , 485 , 3 ," 1,143 "," 1,786 "," 7,261 ", 697 ," 5,392 "," 1,601 "
Tuolumne, 331 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 331 , -   , -   
Ventura," 2,733 ", -   , -   , 577 , -   , -   , 891 , 70 , -   , -   , -   , -   , -   , -   , -   , 96 ," 1,098 ", -   , -   
Yolo," 6,982 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 127 , -   , 53 , -   , -   ," 6,068 ", -   , 734 
Yuba," 1,933 ", -   , -   , -   , -   , -   , -   , -   , -   , 21 , -   , -   , -   , 203 , 414 , -   ," 1,295 ", -   , -   
Other," 4,631 ", 414 , 27 , 69 ," 1,641 ", 1 , 110 , 613 , 33 , 5 , 64 , 59 , 26 , 104 , 409 , 7 , 71 , 978 , -   
 Total ," 164,632 "," 1,478 "," 1,171 "," 1,633 "," 2,822 ", 221 ," 2,899 "," 4,373 "," 1,195 ", 240 ," 1,401 "," 1,801 "," 1,470 "," 3,959 "," 9,522 "," 12,425 "," 51,650 "," 31,406 "," 34,964 "
"
",,,,,,,,,,,,,,,,,,,
