 COUNTY , TOTAL ORGANIC MSW ,LUMBER,PAPER,CARDBOARD,GREEN,FOOD,FOG,OTHER,Biosolids Flow Design,Biosolids Avg Flow
 Shasta ," 65,591 "," 14,300 "," 17,940 "," 3,944 "," 12,497 "," 5,629 ", 17 ," 11,264 "," 1,909 "," 1,550 "
 Sierra ," 1,266 ", 276 , 346 , 76 , 241 , 109 , 0 , 217 , -   , -   
 Siskiyou ," 23,530 "," 5,130 "," 6,436 "," 1,415 "," 4,484 "," 2,020 ", 4 ," 4,041 ", -   , -   
 Solano ," 139,719 "," 30,459 "," 38,214 "," 8,402 "," 26,620 "," 11,991 ", 39 ," 23,994 "," 6,152 "," 5,092 "
 Sonoma ," 137,338 "," 29,939 "," 37,560 "," 8,258 "," 26,165 "," 11,786 ", 45 ," 23,584 "," 5,596 "," 4,198 "
 Stanislaus ," 102,418 "," 22,323 "," 28,006 "," 6,157 "," 19,510 "," 8,788 ", 48 ," 17,585 "," 17,010 "," 6,912 "
 Sutter , 9 , -   , -   , -   , -   , -   , 9 , -   ," 1,985 "," 1,134 "
 Tehama ," 20,075 "," 4,376 "," 5,490 "," 1,207 "," 3,825 "," 1,723 ", 6 ," 3,447 ", 331 , 331 
 Trinity ," 3,164 ", 690 , 865 , 190 , 603 , 271 , 1 , 543 , -   , -   
 Tulare ," 1,880 ", 401 , 503 , 111 , 350 , 158 , 42 , 316 ," 7,569 "," 5,761 "
 Tuolumne ," 14,943 "," 3,257 "," 4,087 ", 898 ," 2,847 "," 1,282 ", 5 ," 2,566 ", 312 , 312 
 Ventura ," 338,790 "," 73,862 "," 92,665 "," 20,373 "," 64,552 "," 29,077 ", 77 ," 58,184 "," 17,861 "," 11,756 "
 Yolo ," 72,786 "," 15,868 "," 19,908 "," 4,377 "," 13,868 "," 6,247 ", 19 ," 12,500 "," 1,418 "," 1,040 "
 Yuba ," 57,987 "," 12,643 "," 15,862 "," 3,487 "," 11,050 "," 4,977 ", 7 ," 9,960 ", 308 , 308 
 Total ," 12,993,076 "," 2,832,588 "," 3,553,687 "," 781,307 "," 2,475,539 "," 1,115,113 "," 3,497 "," 2,231,346 "," 658,576 "," 475,118 "
"
",,,,,,,,,,
