COUNTY,TOTAL ORCH VINE CROP,APPLE,APRICOT,AVOCADO,EXOTIC,CHERRY,LEMON,CITRUS OTHER,DATE & FIG,KIWIFRUIT,NECTARINE,OLIVE,PEAR,PLUM,PEACH,ORANGE,UNSPEC.,GRAPE NON-WINE,GRAPE WINE
San Joaquin," 11,609 ", 671 , 172 , -   , -   , 125 , -   , -   , -   , -   , -   , 228 , 2 , -   , 366 , -   ," 1,138 ", 20 ," 8,888 "
San Luis Obispo," 3,859 ", -   , -   , 143 , -   , -   , 101 , -   , -   , -   , -   , -   , -   , -   , -   , 15 ," 2,731 ", -   , 869 
San Mateo, 114 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 107 , -   , 7 
Santa Barbara," 5,772 ", -   , -   , 43 , -   , -   , 16 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,011 ", -   , 703 
Santa Clara, 522 , -   , 8 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 0 , -   , -   , 374 , -   , 135 
Santa Cruz, 737 , 324 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 380 , -   , 34 
Shasta, 52 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 52 , -   , -   
Sierra, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Siskiyou, 96 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 96 , -   , -   
Solano," 1,282 ", -   , -   , -   , 0 , 0 , -   , -   , -   , -   , -   , 4 , -   , 13 , -   , -   ," 1,119 ", -   , 146 
Sonoma," 1,484 ", 119 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 74 , -   , -   , -   , -   , -   , -   ," 1,291 "
Stanislaus," 15,386 ", -   ," 1,038 ", -   , -   , 25 , -   , 29 , -   , -   , -   , -   , -   , -   ," 2,546 ", -   ," 10,500 "," 1,248 ", -   
Sutter," 2,737 ", -   , -   , -   , -   , -   , -   , -   , -   , 7 , -   , 50 , -   , 27 ," 2,648 ", -   , 4 , -   , -   
Tehama, 604 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 426 , -   , 165 , -   , -   , -   , 14 , -   
Trinity, 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Tulare," 30,229 ", -   , 33 , -   , 637 , 26 , 622 , 921 , -   , 131 , 907 , 402 , 3 ," 1,131 "," 1,761 "," 5,682 "," 1,099 "," 8,085 "," 8,790 "
Tuolumne, 217 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 217 , -   , -   
Ventura," 2,906 ", -   , -   , 682 , -   , -   , 973 , 70 , -   , -   , -   , -   , -   , -   , -   , 32 ," 1,149 ", -   , -   
Yolo," 8,512 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 113 , -   , 9 , -   , -   ," 6,514 ", -   ," 1,876 "
Yuba," 1,452 ", -   , -   , -   , 8 , -   , -   , 0 , -   , 29 , -   , 5 , 1 , 204 , 414 , -   , 791 , 0 , -   
Other," 4,827 ", 497 , 33 , 64 ," 1,931 ", 1 , 90 , 717 , 24 , 3 , 17 , 75 , 37 , 189 , 584 , 11 , 48 , 498 , 7 
 Total ," 230,263 "," 1,731 "," 1,468 "," 1,774 "," 3,827 ", 248 ," 3,110 "," 4,751 "," 1,206 ", 223 ," 1,354 "," 1,870 "," 1,418 "," 3,622 "," 10,341 "," 10,242 "," 89,973 "," 40,849 "," 52,257 "
"
",,,,,,,,,,,,,,,,,,,
