COUNTY,TOTAL ORCH VINE CROP,APPLE,APRICOT,AVOCADO,EXOTIC,CHERRY,LEMON,CITRUS OTHER,DATE & FIG,KIWIFRUIT,NECTARINE,OLIVE,PEAR,PLUM,PEACH,ORANGE,UNSPEC.,GRAPE NON-WINE,GRAPE WINE
Alameda, 594 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 444 , -   , 149 
Alpine, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amador, 176 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 56 , -   , 120 
Butte," 13,147 ", -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 211 , -   , 2 ," 12,928 ", -   , -   
Calaveras, 28 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   , 22 
Colusa," 5,740 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , -   , -   ," 5,554 ", -   , 178 
Contra Costa, 320 , -   , 4 , -   , -   , 2 , -   , -   , -   , -   , 1 , 7 , -   , 3 , 9 , -   , 198 , 96 , -   
Del Norte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
El Dorado, 91 , 26 , -   , -   , -   , 0 , -   , -   , -   , -   , -   , 0 , 6 , 2 , 4 , -   , -   , -   , 53 
Fresno," 36,535 ", 42 , 83 , -   , 884 , 21 , 156 , 953 , -   , 53 , 291 , 61 , 245 ," 1,181 "," 1,264 "," 1,941 "," 1,966 "," 17,904 "," 9,490 "
Glenn, 579 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 383 , -   , 156 , -   , -   , 41 , -   , -   
Humboldt, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Imperial, 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   
Inyo, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Kern," 49,467 ", -   , -   , -   , -   , 21 , 526 ," 1,448 ", -   , -   , 23 , 17 , -   , 65 , -   ," 2,053 "," 30,817 "," 10,313 "," 4,183 "
Kings," 2,135 ", -   , 53 , -   , 333 , 8 , -   , -   , -   , -   , 115 , -   , -   , 197 , 122 , -   , 260 , 171 , 876 
Lake, 773 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 301 , -   , -   , -   , 51 , -   , 418 
Lassen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Los Angeles, 125 , -   , -   , 1 , -   , 0 , -   , 0 , -   , -   , -   , -   , -   , -   , -   , -   , 119 , 5 , -   
Madera," 7,704 ", -   , -   , -   , -   , 3 , -   , -   , 129 , -   , -   , 6 , -   , 15 , 139 , 150 ," 1,653 "," 1,997 "," 3,611 "
Marin, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Mariposa, 38 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 38 , -   , 0 
Mendocino," 1,162 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 191 , -   , -   , -   , 374 , -   , 597 
Merced," 5,311 ", -   , 18 , -   , -   , -   , -   , -   , 7 , -   , -   , -   , -   , 43 , 478 , -   ," 2,215 ", 20 ," 2,529 "
Modoc, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Mono, 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , 1 
Monterey," 2,505 ", -   , -   , 11 , -   , -   , 51 , 92 , -   , -   , -   , -   , -   , -   , -   , -   , 26 , -   ," 2,325 "
Napa, 993 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , -   , -   , -   , -   , -   , -   , 986 
Nevada, 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 
Orange, 10 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 3 , -   , -   
Placer, 22 , 0 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 1 , 5 , 6 , -   , -   , -   , 4 
Plumas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Riverside," 2,577 ", -   , -   , 181 , 6 , 0 , 271 , 306 ," 1,045 ", -   , -   , -   , -   , -   , -   , 123 , 14 , 476 , 154 
Sacramento," 4,413 ", -   , -   , -   , -   , 8 , -   , -   , -   , -   , -   , -   , 630 , -   , -   , -   , 145 , -   ," 3,630 "
San Benito, 622 , 35 , 26 , -   , -   , 3 , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , 416 , -   , 140 
San Bernardino, 191 , 14 , -   , 10 , -   , -   , 0 , 1 , -   , -   , -   , -   , -   , -   , -   , 53 , 105 , 1 , 6 
San Diego," 2,582 ", 4 , -   , 633 , 28 , -   , 303 , 202 , -   , -   , -   , -   , -   , -   , -   , 178 ," 1,211 ", -   , 23 
San Francisco, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
