 COUNTY , LMS TOTAL ,ALMOND HULLS,ALMOND SHELLS,WALNUT SHELLS,OTHER NUT SHELLS,RICE HULLS,COTTON GIN TRASH,CANNERY,DEHYD.,BAKERY,TORTILLA,GRAIN CHAFF
 Mariposa , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mendocino , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Merced ," 379,370 "," 269,680 "," 64,209 "," 3,289 ", -   ," 1,200 "," 32,271 "," 3,610 "," 3,587 ", 61 , -   ," 1,464 "
 Modoc , 245 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 245 
 Mono , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Monterey , 742 , -   , -   , 99 , -   , -   , -   , -   , -   , 605 , 30 , 8 
 Napa ," 1,067 ", -   , -   , -   , -   , -   , -   ," 1,006 ", -   , 61 , -   , -   
 Nevada , 61 , -   , -   , -   , -   , -   , -   , -   , -   , 61 , -   , -   
 Orange ," 4,759 ", -   , -   , -   , -   , -   , -   , 80 , 717 ," 3,809 ", 152 , -   
 Placer ," 10,006 ", -   , -   , 548 , -   ," 9,428 ", -   , -   , -   , -   , -   , 30 
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Riverside ," 17,966 ", -   , -   , -   , -   , -   ," 12,938 ", 80 ," 3,587 ", 926 , 248 , 187 
 Sacramento ," 9,431 ", -   , -   , 393 , -   ," 3,441 ", -   ," 2,012 ", -   ," 2,254 ", 152 ," 1,178 "
 San Benito ," 1,477 ", -   , -   , 463 , -   , -   , -   ," 1,006 ", -   , -   , -   , 7 
 San Bernardino ," 7,503 ", -   , -   , -   , -   , -   , -   ," 2,841 "," 3,587 ", 303 , 760 , 12 
 San Diego ," 4,485 ", -   , -   , -   , 536 , -   , -   , -   , -   ," 3,189 ", 760 , -   
 San Francisco , 714 , -   , -   , -   , -   , -   , -   , -   , -   , 714 , -   , -   
 San Joaquin ," 433,031 "," 289,618 "," 68,957 "," 63,766 ", -   ," 3,093 ", -   ," 3,224 ", -   ," 1,513 ", 30 ," 2,831 "
 San Luis Obispo , 431 , -   , -   , 303 , -   , -   , -   , -   , -   , 67 , -   , 62 
 San Mateo ," 1,377 ", -   , -   , -   , -   , -   , -   , 80 , -   ," 1,295 ", -   , 1 
 Santa Barbara , 91 , -   , -   , -   , -   , -   , -   , -   , -   , 61 , 30 , -   
 Santa Clara ," 10,176 ", -   , -   , 85 , -   , -   , -   , 402 ," 8,968 ", 690 , 30 , -   
 Santa Cruz ," 1,682 ", -   , -   , -   , -   , -   , -   ," 1,006 ", -   , 523 , 152 , -   
 Shasta ," 1,194 ", -   , -   , 492 , -   , 702 , -   , -   , -   , -   , -   , -   
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Siskiyou , 651 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 651 
 Solano ," 31,364 "," 12,012 "," 2,860 "," 6,591 ", -   , -   , -   , 80 ," 8,968 ", 61 , -   , 792 
 Sonoma ," 2,467 ", -   , -   , 20 , -   , -   , -   , 439 , -   ," 1,849 ", 152 , 8 
 Stanislaus ," 892,036 "," 671,629 "," 159,912 "," 29,697 ", -   ," 1,406 ", -   ," 7,739 "," 21,236 ", 306 , 30 , 81 
 Sutter ," 144,114 "," 16,823 "," 4,005 "," 21,298 ", -   ," 83,449 ", -   , -   ," 17,936 ", -   , -   , 603 
 Tehama ," 67,510 "," 38,112 "," 9,074 "," 19,166 ", -   , 32 , -   ," 1,006 ", -   , -   , -   , 119 
 Trinity , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Tulare ," 319,028 "," 219,985 "," 52,377 "," 33,939 ", 186 , -   ," 9,536 "," 1,682 ", -   , -   , 30 ," 1,293 "
 Tuolumne , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Ventura , 383 , -   , -   , -   , -   , -   , -   , 80 , -   , 303 , -   , -   
 Yolo ," 128,825 "," 74,839 "," 17,819 "," 7,531 ", -   ," 25,460 ", -   ," 2,012 ", -   , -   , -   ," 1,163 "
 Yuba ," 34,225 "," 1,225 ", 292 ," 7,504 ", -   ," 25,203 ", -   , -   , -   , -   , -   , -   
 Other ," 21,480 "," 15,103 "," 3,596 ", -   , 343 ," 1,023 ", 289 ,,,,," 1,125 "
 Total ," 6,647,162 "," 4,478,587 "," 1,066,330 "," 374,878 "," 1,065 "," 310,262 "," 188,367 "," 40,244 "," 124,725 "," 39,061 "," 6,543 "," 17,099 "
"
",,,,,,,,,,,,
