 COUNTY , LMS TOTAL ,ALMOND HULLS,ALMOND SHELLS,WALNUT SHELLS,OTHER NUT SHELLS,RICE HULLS,COTTON GIN TRASH,CANNERY,DEHYD.,BAKERY,TORTILLA,GRAIN CHAFF
 Alameda ," 6,615 ", -   , -   , -   , -   , -   , -   , 80 , 717 ," 5,216 ", 600 , -   
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Amador , 94 , -   , -   , 94 , -   , -   , -   , -   , -   , -   , -   , -   
 Butte ," 199,525 "," 110,386 "," 26,282 "," 36,896 ", -   ," 21,309 ", -   , 901 ," 3,659 ", -   , -   , 91 
 Calaveras , 321 , -   , -   , 321 , -   , -   , -   , -   , -   , -   , -   , -   
 Colusa ," 534,600 "," 282,126 "," 67,173 "," 103,524 ", -   ," 80,844 ", -   , 402 , -   , -   , -   , 531 
 Contra Costa ," 2,350 ", -   , -   , 681 , -   , -   , -   , -   , -   ," 1,470 ", -   , 198 
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 El Dorado , 33 , -   , -   , 33 , -   , -   , -   , -   , -   , -   , -   , -   
 Fresno ," 1,317,387 "," 975,435 "," 232,246 "," 5,779 ", -   ," 1,590 "," 43,335 "," 5,260 "," 50,328 "," 1,407 ", 760 ," 1,248 "
 Glenn ," 251,215 "," 141,738 "," 33,747 "," 21,190 ", -   ," 52,080 "," 1,278 ", -   , -   , -   , -   ," 1,181 "
 Humboldt , 61 , -   , -   , -   , -   , -   , -   , -   , -   , 61 , -   , -   
 Imperial ," 2,309 ", -   , -   , -   , -   , -   ," 2,309 ", -   , -   , -   , -   , -   
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Kern ," 982,213 "," 770,392 "," 183,427 ", 441 , -   , -   ," 26,443 "," 1,006 ", -   , 61 , -   , 445 
 Kings ," 174,171 "," 81,484 "," 19,401 "," 9,030 ", -   , -   ," 59,443 "," 2,797 ", 717 , -   , -   ," 1,298 "
 Lake , 689 , -   , -   , 689 , -   , -   , -   , -   , -   , -   , -   , -   
 Lassen , 92 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 92 
 Los Angeles ," 16,798 ", -   , -   , -   , -   , -   , -   ," 1,409 ", 717 ," 12,078 "," 2,593 ", -   
 Madera ," 630,740 "," 508,001 "," 120,953 "," 1,013 ", -   , -   , 526 , -   , -   , 61 , 30 , 157 
 Marin , 61 , -   , -   , -   , -   , -   , -   , -   , -   , 61 , -   , -   
