 COUNTY , TOTAL      ROW CROP , ARTICHOKE , ASPARAGUS , BEET , BERRY , BROCCOLI , CABBAGE  , CARROT , CAULIFLOWER , CELERY , CUCUMBER , GARLIC , LETTUCE , MELON , ONION , PEPPER , POTATO , SQUASH , SPINACH & GREENS , SPICES & HERBS , TOMATO& EGGPLANT , VEG UNSP. , OTHER CRUCIFEROUS , VEG OTHER , BEAN & PEA , CORN SWEET 
 Riverside ," 14,052 ", 226 , -   , -   , 312 , 204 , 20 , 628 , 221 , 92 , -   , -   , 715 , 907 , 38 , 850 , 895 , 63 , 181 , 315 , 112 , 335 , -   , -   , 281 ," 7,656 "
 Sacramento ," 1,459 ", -   , -   , -   , 81 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 94 , -   , -   , 751 , 533 , -   , -   , -   , -   
 San Benito ," 4,599 ", -   , -   , 13 , -   , 128 , 52 , -   , -   , 114 , -   , -   ," 1,638 ", -   , 279 , 326 , -   , 2 , 605 , -   , 551 , 892 , -   , -   , -   , -   
 San Bernardino , 775 , -   , -   , 5 , 86 , -   , 504 , -   , -   , -   , 12 , -   , -   , 2 , 6 , -   , -   , 36 , -   , 11 , 4 , 20 , -   , -   , 1 , 87 
 San Diego ," 1,968 ", -   , -   , -   , 531 , -   , -   , -   , -   , -   , 34 , -   , 72 , 24 , -   , 34 , 97 , 321 , -   , 83 , 478 , 293 , -   , -   , -   , -   
 San Francisco , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 San Joaquin ," 20,710 ", -   , -   , -   , 970 , -   , -   , -   , -   , -   , 814 , -   , -   , 662 , 114 , 202 ," 1,248 ", 732 , -   , -   ," 4,712 ", 824 , -   , -   , -   ," 10,432 "
 San Luis Obispo ," 6,428 ", -   , -   , -   ," 2,809 ", -   , 538 , 80 , 327 , 128 , -   , -   , 756 , -   , -   , 155 , -   , 48 , 66 , -   , -   ," 1,456 ", -   , -   , 66 , -   
 San Mateo , 231 , 23 , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 47 , -   , -   , -   , 100 , -   , -   , 45 , -   
 Santa Barbara ," 19,287 ", -   , -   , -   ," 6,550 "," 5,395 ", 184 , -   ," 1,465 ", 695 , -   , -   ," 2,453 ", -   , -   , 71 , -   , 182 , 342 , -   , -   ," 1,950 ", -   , -   , -   , -   
 Santa Clara ," 6,665 ", -   , -   , -   , 23 , 54 , -   , -   , -   , 52 , -   , 84 , 580 , -   , 59 , 383 , -   , 90 , 320 , -   , 360 , 181 , -   , -   , 166 ," 4,312 "
 Santa Cruz ," 6,287 ", -   , -   , -   ," 5,076 ", 25 , -   , -   , 4 , -   , -   , -   , 561 , -   , -   , -   , -   , -   , -   , -   , -   , 620 , -   , -   , -   , -   
