COUNTY,TOTAL FIELD ,BARLEY,CORN,SORGHUM,WHEAT,RYE,OATS,RICE,COTTON,SUNFLOWER,SAFFLOWER,BEANS & PEAS DRY,TRITICALE,FIELD OTHER,SEED OTHER,FIELD CROPS UNSP.
Siskiyou," 64,915 ", 347 ," 19,025 ", -   ," 21,299 ", -   , -   , -   , -   ," 6,944 "," 2,498 ", 327 ," 9,924 ", -   ," 2,071 "," 2,480 "
Solano, 292 , -   , -   , -   , -   , -   , 292 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Sonoma," 10,220 ", 40 , -   , -   ," 2,668 ", -   , -   ," 2,285 ", -   , -   , -   ," 2,819 ", -   , -   , 494 ," 1,914 "
Stanislaus," 203,179 ", -   ," 16,115 ", -   ," 11,347 ", -   , 17 ," 154,745 ", -   ," 5,844 "," 3,114 ", 574 , -   ," 4,444 "," 6,448 ", 531 
Sutter," 5,549 ", -   ," 3,010 ", -   ," 1,920 ", -   , -   , 95 , -   , -   , -   , -   , -   , -   , 524 , -   
Tehama, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Trinity," 104,791 "," 1,302 "," 19,861 ", -   ," 36,646 ", -   , -   , -   ," 13,107 ", -   , -   ," 1,695 ", -   , -   ," 18,531 "," 13,650 "
Tulare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tuolumne, 496 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 496 , -   , -   , -   , -   
Ventura," 192,087 ", -   ," 23,338 ", -   ," 30,868 ", -   , -   ," 62,066 ", -   ," 13,934 "," 6,005 ", -   , -   , -   ," 11,212 "," 44,664 "
Yolo," 59,212 ", -   , -   , -   , -   , -   , -   ," 57,506 ", -   , 9 , -   , -   , -   , -   , 3 ," 1,695 "
Yuba," 58,490 "," 1,922 "," 8,949 "," 17,180 "," 1,893 ", 255 , 85 ," 4,591 ", 11 , 327 ," 3,593 "," 2,139 "," 1,938 ", 168 ," 8,341 "," 7,097 "
Other, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Total ," 2,080,383 "," 25,846 "," 372,443 "," 17,490 "," 336,541 "," 3,413 "," 2,709 "," 603,487 "," 328,558 "," 36,685 "," 25,264 "," 17,147 "," 12,169 "," 4,784 "," 105,233 "," 188,614 "
"
",,,,,,,,,,,,,,,,
