 COUNTY , TOTAL      ROW CROP , ARTICHOKE , ASPARAGUS , BEET , BERRY , BROCCOLI , CABBAGE  , CARROT , CAULIFLOWER , CELERY , CUCUMBER , GARLIC , LETTUCE , MELON , ONION , PEPPER , POTATO , SQUASH , SPINACH & GREENS , SPICES & HERBS , TOMATO& EGGPLANT , VEG UNSP. , OTHER CRUCIFEROUS , VEG OTHER , BEAN & PEA , CORN SWEET 
 Humboldt , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Imperial , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Kern ," 10,690 ", -   , -   , -   , 430 , -   , -   , -   , -   , -   , -   , 884 , 58 , 552 ," 1,928 ", 399 ," 2,939 ", -   , -   , -   ," 3,500 ", -   , -   , -   , -   , -   
 Kings ," 14,298 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 10,945 "," 3,353 ", -   , -   , -   , -   
 Lake , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , -   , -   
 Lassen , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Los Angeles , 485 , -   , -   , -   , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 457 
 Madera ," 1,462 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,462 ", -   , -   , -   , -   , -   
 Marin , 170 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 170 , -   , -   , -   , -   
 Mariposa , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mendocino , 86 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 86 , -   , -   , -   , -   
 Merced ," 15,512 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,707 ", -   , -   ," 4,972 ", -   , -   , -   ," 7,449 "," 1,384 ", -   , -   , -   , -   
 Modoc ," 1,166 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 247 , -   , 919 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mono , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Monterey ," 66,256 "," 2,082 ", 850 , -   ," 9,739 "," 12,539 "," 1,317 ", 440 ," 3,190 "," 3,119 ", -   , -   ," 19,722 ", -   , 460 , 207 , -   , 53 ," 4,088 ", 474 , 135 ," 7,570 ", -   , -   , 270 , -   
 Napa , 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 , -   , -   , -   , -   
 Nevada , 22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , -   , -   , -   , -   
 Orange , 17 , -   , -   , -   , 1 , 1 , -   , -   , 1 , -   , 12 , -   , 1 , 0 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Placer , 17 , -   , -   , -   , 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Riverside ," 10,942 ", 267 , -   , -   , 530 , 204 , 6 , 628 , 183 , 147 , -   , -   , 722 , 896 , 30 , 835 , 886 , 88 , 259 , 232 , 120 , 363 , -   , -   , 248 ," 4,298 "
 Sacramento ," 1,440 ", -   , -   , -   , 71 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 896 , 472 , -   , -   , -   , -   
 San Benito ," 5,184 ", -   , -   , -   , -   , 153 , 30 , -   , -   , 120 , -   , -   ," 1,623 ", -   , 229 , 348 , -   , -   , 622 , -   , 405 ," 1,654 ", -   , -   , -   , -   
 San Bernardino , 492 , -   , -   , 2 , 74 , -   , 312 , -   , -   , -   , 2 , -   , -   , 8 , 2 , -   , -   , 62 , -   , 11 , 1 , 18 , -   , -   , -   , -   
 San Diego ," 1,844 ", -   , -   , -   , 633 , -   , -   , -   , -   , -   , 34 , -   , 91 , -   , -   , 37 , 64 , 152 , -   , 80 , 406 , 348 , -   , -   , -   , -   
 San Francisco , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 San Joaquin ," 17,178 ", -   , -   , -   , 927 , -   , -   , -   , -   , -   , 814 , -   , -   , 540 , 412 , 124 , 944 , 684 , -   , -   ," 4,712 ", 620 , -   , -   , -   ," 7,402 "
 San Luis Obispo ," 8,201 ", -   , -   , -   ," 3,052 "," 1,006 ", 415 , -   , 314 , -   , -   , -   , 811 , -   , -   , 159 , -   , 29 , -   , -   , -   ," 2,355 ", -   , -   , 60 , -   
 San Mateo , 202 , 27 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 38 , -   , -   , -   , 93 , -   , -   , 45 , -   
 Santa Barbara ," 20,079 ", -   , -   , -   ," 6,574 "," 4,971 ", 207 , -   ," 1,479 ", 749 , -   , -   ," 2,584 ", -   , -   , 84 , -   , 138 , 271 , -   , -   ," 3,023 ", -   , -   , -   , -   
 Santa Clara ," 6,990 ", -   , -   , -   , 23 , 18 , -   , -   , -   , 72 , -   , 156 , 294 , -   , -   , 80 , -   , 79 , 280 , -   , 412 , 112 , -   , -   , 177 ," 5,287 "
 Santa Cruz ," 6,045 ", -   , -   , -   ," 4,687 ", -   , -   , -   , -   , -   , -   , -   , 593 , -   , -   , -   , -   , -   , -   , -   , -   , 765 , -   , -   , -   , -   
 Shasta , 52 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 52 , -   , -   , -   , -   , -   , -   
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Siskiyou ," 1,575 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 387 , -   , 978 , -   , -   , 210 , -   , -   , -   , -   , -   , -   
 Solano ," 3,589 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,807 ", 782 , -   , -   , -   , -   
 Sonoma , 136 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 136 , -   , -   , -   , -   
 Stanislaus ," 6,100 ", -   , -   , -   , -   , 484 , -   , -   , -   , -   , -   , -   , -   , 790 , -   , -   , 277 , 91 , -   , -   ," 3,270 ", 869 , -   , -   , 319 , -   
 Sutter ," 2,471 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 112 , -   , -   , -   , -   , -   , -   ," 2,359 ", -   , -   , -   , -   , -   
 Tehama , 38 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 38 , -   , -   , -   , -   
 Trinity , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Tulare ," 2,213 ", -   , -   , -   , 998 , 214 , -   , -   , -   , -   , 22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 607 , -   , -   , -   , 372 
 Tuolumne , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   
 Ventura ," 20,203 ", -   , -   , 89 ," 12,862 ", 65 , 711 , 97 , -   ," 1,996 ", 18 , -   , 447 , -   , 80 , 789 , -   , 39 , 229 , 768 , 110 , 389 , -   , -   , -   ," 1,514 "
 Yolo ," 11,199 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,388 "," 1,811 ", -   , -   , -   , -   
 Yuba , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Other ," 22,599 ", 21 , 123 , 593 , 600 , 179 , 551 ," 4,341 ", 69 , 366 , 33 , 123 , 241 , 204 , 682 , 388 , 415 , 94 , 307 , 810 , 113 , 147 , -   , -   , 534 ," 11,666 "
 Total ," 327,743 "," 2,397 "," 1,815 ", 684 ," 41,744 "," 20,437 "," 3,551 "," 5,505 "," 5,235 "," 6,570 ", 935 ," 5,768 "," 29,246 "," 8,003 "," 8,696 "," 3,602 "," 12,393 "," 1,722 "," 6,056 "," 2,636 "," 71,650 "," 27,670 ", -   , -   ," 1,756 "," 59,671 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"
",,,,,,,,,,,,,,,,,,,,,,,,,,
