 COUNTY ,LUMBER,Unnamed: 2,PAPER,Unnamed: 4,CARDBOARD,Unnamed: 6,GREEN,Unnamed: 8,FOOD,Unnamed: 10,FOG,Unnamed: 12,OTHER,Unnamed: 14
 Scenario ,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle,Baseline,High Recycle
 Alameda ," 147,821 "," 78,138 "," 127,884 "," 95,913 "," 33,169 "," 30,789 "," 94,768 "," 70,405 "," 43,944 "," 28,826 ", 156 , 102 ," 93,735 "," 71,130 "
 Alpine , 114 , 98 , 161 , 120 , 42 , 39 , 119 , 88 , 55 , 36 , 0 , 0 , 119 , 90 
 Amador ," 3,436 "," 1,815 "," 2,971 "," 2,228 ", 771 , 715 ," 2,202 "," 1,636 "," 1,021 ", 670 , 4 , 2 ," 2,177 "," 1,652 "
 Butte ," 20,819 "," 12,336 "," 20,190 "," 15,143 "," 5,237 "," 4,861 "," 14,962 "," 11,116 "," 6,938 "," 4,551 ", 22 , 14 ," 14,868 "," 11,283 "
 Calaveras ," 4,302 "," 2,184 "," 3,574 "," 2,681 ", 927 , 860 ," 2,649 "," 1,968 "," 1,228 ", 806 , 5 , 3 ," 2,591 "," 1,966 "
 Colusa ," 2,134 "," 1,461 "," 2,391 "," 1,793 ", 620 , 576 ," 1,772 "," 1,316 ", 822 , 539 , 2 , 1 ," 1,720 "," 1,305 "
 Contra Costa ," 102,511 "," 48,369 "," 79,163 "," 59,372 "," 20,532 "," 19,059 "," 58,663 "," 43,582 "," 27,202 "," 17,844 ", 108 , 71 ," 58,003 "," 44,015 "
 Del Norte ," 2,561 "," 1,128 "," 1,846 "," 1,385 ", 479 , 444 ," 1,368 "," 1,016 ", 634 , 416 , 3 , 2 ," 1,387 "," 1,052 "
 El Dorado ," 16,769 "," 9,442 "," 15,453 "," 11,590 "," 4,008 "," 3,721 "," 11,452 "," 8,508 "," 5,310 "," 3,483 ", 18 , 12 ," 11,492 "," 8,720 "
 Fresno ," 92,708 "," 51,653 "," 84,538 "," 63,404 "," 21,926 "," 20,353 "," 62,647 "," 46,541 "," 29,049 "," 19,055 ", 98 , 64 ," 60,903 "," 46,215 "
 Glenn ," 2,677 "," 1,391 "," 2,277 "," 1,708 ", 591 , 548 ," 1,688 "," 1,254 ", 783 , 513 , 3 , 2 ," 1,676 "," 1,272 "
 Humboldt ," 12,216 "," 5,264 "," 8,616 "," 6,462 "," 2,235 "," 2,074 "," 6,385 "," 4,743 "," 2,961 "," 1,942 ", 13 , 8 ," 6,502 "," 4,934 "
 Imperial ," 18,625 "," 14,299 "," 23,403 "," 17,552 "," 6,070 "," 5,634 "," 17,343 "," 12,884 "," 8,042 "," 5,275 ", 20 , 13 ," 16,217 "," 12,306 "
 Inyo ," 1,724 "," 1,200 "," 1,964 "," 1,473 ", 509 , 473 ," 1,456 "," 1,081 ", 675 , 443 , 2 , 1 ," 1,479 "," 1,122 "
