 COUNTY , TOTAL ORCH. VINE CROP , ALMOND , GRAPE , APPLE , APRICOT , AVOCADO , EXOTIC , CHERRY , NUTS OTHER , LEMON , CITRUS OTHER , DATE & FIG , FRUITS & NUTS UNSP. , KIWIFRUIT , NECTARINE , OLIVE , ORANGE , PEACH , PEAR , PISTACHIO , PLUM , WALNUT 
 Alameda ," 3,197 ", -   ," 2,949 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 249 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Alpine , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Amador ," 4,028 ", -   ," 3,768 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 31 , -   , -   , -   , -   , -   , -   , -   , -   , 228 
 Butte ," 90,617 "," 54,764 ", -   , -   , -   , -   , -   , -   , -   , -   , 258 , -   ," 7,247 ", -   , -   , -   , 95 , -   , -   , 372 ," 4,825 "," 23,056 "
 Calaveras ," 1,583 ", -   , 913 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 253 , -   , -   , -   , -   , -   , 417 
 Colusa ," 106,016 "," 92,001 "," 2,310 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,113 ", -   , -   , -   , -   , -   , -   , -   , 245 ," 8,346 "
 Contra Costa ," 3,514 ", -   ," 1,979 ", -   , 91 , -   , -   , 632 , -   , -   , -   , -   , 111 , -   , 27 , 152 , -   , 120 , -   , -   , 26 , 377 
 Del Norte , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 El Dorado ," 4,203 ", -   ," 2,764 ", 882 , -   , -   , -   , 101 , -   , -   , -   , -   , -   , -   , -   , 38 , -   , 120 , 131 , -   , 41 , 125 
 Fresno ," 743,752 "," 303,711 "," 299,678 ", 174 ," 1,454 ", -   ," 7,317 "," 4,597 ", -   ," 3,635 "," 24,298 ", -   ," 1,102 ", 515 ," 2,221 "," 1,011 "," 35,739 "," 11,595 "," 1,452 "," 34,177 "," 6,200 "," 4,876 "
 Glenn ," 95,148 "," 71,399 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23 , -   , -   ," 5,281 ", -   , -   , -   ," 1,173 "," 3,606 "," 13,667 "
 Humboldt , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Imperial , 24 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 24 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Inyo , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Kern ," 522,491 "," 271,878 "," 105,299 ", -   , -   , -   , -   ," 6,569 ", -   ," 6,909 "," 32,733 ", -   ," 2,255 ", -   , 246 , 247 ," 41,790 ", -   , -   ," 53,728 ", 468 , 370 
 Kings ," 76,426 "," 34,456 "," 8,177 ", -   ," 1,071 ", -   ," 3,272 "," 1,735 ", -   , -   , -   , -   ," 3,902 ", -   ," 1,057 ", -   , -   , 658 , -   ," 12,832 "," 1,755 "," 7,511 "
 Lake ," 12,603 ", -   ," 8,004 ", -   , -   , -   , -   , -   , 11 , -   , -   , -   , 29 , -   , -   , 39 , -   , -   ," 2,591 ", -   , -   ," 1,930 "
 Lassen , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Los Angeles , 670 , -   , 389 , -   , -   , 37 , -   , 175 , -   , -   , 3 , -   , 67 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Madera ," 279,978 "," 188,265 "," 58,868 ", -   , -   , -   , -   , 676 , -   , -   , -   ," 5,394 ", 927 , -   , -   , 71 ," 2,980 ", 669 , -   ," 21,022 ", 116 , 991 
 Marin , 68 , -   , 68 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mariposa , 115 , -   , 94 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 21 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mendocino ," 22,196 ", -   ," 20,344 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 210 , -   , -   , -   , -   , -   ," 1,643 ", -   , -   , -   
 Merced ," 168,289 "," 136,485 "," 20,072 ", -   , 276 , -   , -   , -   , -   , -   , -   , 710 ," 1,242 ", -   , -   , -   , -   ," 1,977 ", -   ," 3,499 ", 925 ," 3,103 "
 Modoc , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mono , 8 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Monterey ," 62,262 ", -   ," 59,973 ", -   , -   , 181 , -   , -   , -   , 722 , 985 , -   , 158 , -   , -   , -   , -   , -   , -   , -   , -   , 243 
 Napa ," 43,368 ", -   ," 43,194 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 174 , -   , -   , -   , -   , -   , -   
 Nevada , 341 , -   , 341 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Orange , 248 , -   , -   , -   , -   , 127 , -   , -   , -   , -   , -   , -   , 24 , -   , -   , -   , 97 , -   , -   , -   , -   , -   
 Placer ," 1,460 ", -   , 215 , 4 , -   , -   , -   , -   , -   , -   , 360 , -   , -   , -   , -   , -   , -   , 219 , 20 , -   , 144 , 497 
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Riverside ," 40,931 ", -   ," 12,575 ", -   , -   ," 5,447 ", 32 , 56 , -   ," 7,421 "," 8,012 "," 3,357 ", 353 , -   , -   , -   ," 3,677 ", -   , -   , -   , -   , -   
 Sacramento ," 50,604 ", -   ," 42,242 ", -   , -   , -   , -   ," 1,313 ", -   , -   , -   , -   , 82 , -   , -   , -   , -   , -   ," 6,485 ", -   , -   , 483 
 San Benito ," 6,731 ", -   ," 3,942 ", 180 , 757 , -   , -   , 732 , -   , -   , -   , -   , 233 , -   , -   , 72 , -   , -   , -   , -   , -   , 814 
 San Bernardino ," 3,226 ", -   , 505 , 571 , -   , 165 , -   , -   , -   , 298 , 360 , -   , 59 , -   , -   , -   ," 1,029 ", -   , -   , 240 , -   , -   
 San Diego ," 35,477 ", -   , 984 , 267 , -   ," 18,039 ", 377 , -   ," 1,639 "," 6,202 "," 3,929 ", -   , 679 , -   , -   , -   ," 3,362 ", -   , -   , -   , -   , -   
 San Francisco , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 San Joaquin ," 320,478 "," 105,144 "," 142,614 "," 2,857 "," 1,101 ", -   , -   ," 31,053 ", -   , -   , -   , -   , 638 , -   , -   ," 2,640 ", -   ," 1,597 ", 232 , -   , -   ," 32,602 "
 San Luis Obispo ," 45,273 ", -   ," 35,559 ", -   , -   ," 4,925 ", -   , -   , -   ," 2,042 ", -   , -   ," 1,531 ", -   , -   , -   , 112 , -   , -   , -   , -   ," 1,104 "
 San Mateo , 187 , -   , 127 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 60 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Santa Barbara ," 25,550 ", -   ," 21,160 ", -   , -   ," 1,367 ", -   , -   , -   , 213 , -   , -   ," 2,809 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
 Santa Clara ," 4,014 ", -   ," 2,262 ", -   , 278 , -   , -   ," 1,127 ", -   , -   , -   , -   , 209 , -   , -   , -   , -   , -   , -   , -   , 23 , 115 
 Santa Cruz ," 2,738 ", -   , 855 ," 1,670 ", -   , -   , -   , -   , -   , -   , -   , -   , 213 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Shasta , 619 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 29 , -   , -   , -   , -   , -   , -   , -   , -   , 589 
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Siskiyou , 54 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 54 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Solano ," 14,802 "," 5,279 "," 3,488 ", -   , -   , -   , 1 , 37 , -   , -   , -   , -   , 627 , -   , -   , 96 , -   , -   , -   , -   , 369 ," 4,903 "
 Sonoma ," 62,073 ", -   ," 59,973 "," 1,584 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 435 , -   , -   , -   , -   , -   , 81 
 Stanislaus ," 320,594 "," 263,954 "," 10,789 ", -   ," 6,151 ", -   , -   ," 5,068 ", -   , -   , 834 , -   ," 5,886 ", -   , -   , -   , -   ," 7,933 ", -   , -   , -   ," 19,978 "
 Sutter ," 43,102 "," 10,165 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 93 , 111 , -   , 881 , -   ," 15,527 ", -   , -   , 728 ," 15,597 "
 Tehama ," 41,988 "," 19,004 ", 286 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,846 ", -   , -   , -   , 118 ," 3,903 "," 12,832 "
 Trinity , 86 , -   , 86 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Tulare ," 437,870 "," 82,410 "," 106,087 ", -   , 645 , -   ," 6,920 "," 3,357 ", 657 ," 9,890 "," 32,838 ", -   , 616 ," 2,057 "," 7,712 "," 5,762 "," 104,928 "," 14,600 ", 185 ," 30,787 "," 7,397 "," 21,022 "
 Tuolumne , 121 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 121 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Ventura ," 34,878 ", -   , -   , -   , -   ," 15,047 ", -   , -   , -   ," 14,613 "," 3,956 ", -   , 644 , -   , -   , -   , 618 , -   , -   , -   , -   , -   
 Yolo ," 69,049 "," 35,344 "," 19,999 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,651 ", -   , -   ," 1,865 ", -   , -   , -   , -   , 209 ," 7,981 "
 Yuba ," 16,019 ", 884 , 0 , -   , -   , -   , 32 , -   , -   , -   , 12 , -   , 443 , 548 , -   , 134 , -   ," 2,505 ", -   , -   ," 5,044 "," 6,416 "
 Other ," 39,101 "," 1,898 "," 2,629 "," 2,092 ", 314 ," 1,022 "," 14,796 ", 127 ," 1,160 ", 575 ," 5,267 ", 729 , 735 , 59 , 114 ," 1,244 ", 216 ," 4,346 ", 177 , 695 , 906 , -   
 Total ," 3,858,170 "," 1,677,042 "," 1,105,565 "," 10,281 "," 12,139 "," 46,358 "," 32,746 "," 57,356 "," 3,467 "," 52,520 "," 113,845 "," 10,190 "," 40,501 "," 3,290 "," 11,378 "," 26,239 "," 194,644 "," 61,866 "," 12,916 "," 158,643 "," 36,927 "," 190,256 "
"
",,,,,,,,,,,,,,,,,,,,,,
